"Taxonomic Group","Scientific Name","Common Name","NC Status","Federal Status","State Rank","Global Rank","County","County Status","Habitat Comment"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Pitt","Current","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Robeson","Historical","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Hoke","Current","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Brunswick","Historical","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Onslow","Historical","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Carteret","Current","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Scotland","Current","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Richmond","Current","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Craven","Current","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Cumberland","Current","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Gaston","Current","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Macon","Current","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Polk","Current","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Dare","Historical","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Swain","Current","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Washington","Current","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Amblyscirtes reversa","Reversed Roadside-Skipper","SR","none","S3","G3G4","Bertie","Current","flatwoods, savannas, pocosin borders, near cane; host plant -- cane (Arundinaria)"
"Butterfly","Atrytone arogos arogos","Eastern Arogos Skipper","SR","none","SH","G2G3T1T2","New Hanover","Historical","savannas, open pinewoods, and other relatively undisturbed grasslands; host plants -- grasses, mainly pinebarrens sandreed (Calamovilfa brevipilis)"
"Butterfly","Atrytone arogos arogos","Eastern Arogos Skipper","SR","none","SH","G2G3T1T2","Moore","Historical","savannas, open pinewoods, and other relatively undisturbed grasslands; host plants -- grasses, mainly pinebarrens sandreed (Calamovilfa brevipilis)"
"Butterfly","Atrytone arogos arogos","Eastern Arogos Skipper","SR","none","SH","G2G3T1T2","Brunswick","Historical","savannas, open pinewoods, and other relatively undisturbed grasslands; host plants -- grasses, mainly pinebarrens sandreed (Calamovilfa brevipilis)"
"Butterfly","Atrytone arogos arogos","Eastern Arogos Skipper","SR","none","SH","G2G3T1T2","Carteret","Current","savannas, open pinewoods, and other relatively undisturbed grasslands; host plants -- grasses, mainly pinebarrens sandreed (Calamovilfa brevipilis)"
"Butterfly","Atrytone arogos arogos","Eastern Arogos Skipper","SR","none","SH","G2G3T1T2","Richmond","Historical","savannas, open pinewoods, and other relatively undisturbed grasslands; host plants -- grasses, mainly pinebarrens sandreed (Calamovilfa brevipilis)"
"Butterfly","Atrytonopsis loammi","Loammi Skipper","SR","none","SH","G2","New Hanover","Historical","grassy areas near the coast; host plants presumed to be Andropogon grasses"
"Butterfly","Atrytonopsis loammi","Loammi Skipper","SR","none","SH","G2","Brunswick","Historical","grassy areas near the coast; host plants presumed to be Andropogon grasses"
"Butterfly","Atrytonopsis quinteri","Crystal Skipper","SR","none","S1","G1","Onslow","Current","dunes and sandy flats; host plant -- seaside little bluestem (Schizachyrium littorale) (endemic to North Carolina)"
"Butterfly","Atrytonopsis quinteri","Crystal Skipper","SR","none","S1","G1","Carteret","Current","dunes and sandy flats; host plant -- seaside little bluestem (Schizachyrium littorale) (endemic to North Carolina)"
"Butterfly","Calephelis virginiensis","Little Metalmark","SR","none","S2","G4","Pender","Current","savannas and pine flatwoods; host plants -- vanilla-plant (Trilisa odoratissima), thistles (Cirsium)"
"Butterfly","Calephelis virginiensis","Little Metalmark","SR","none","S2","G4","New Hanover","Current","savannas and pine flatwoods; host plants -- vanilla-plant (Trilisa odoratissima), thistles (Cirsium)"
"Butterfly","Calephelis virginiensis","Little Metalmark","SR","none","S2","G4","Moore","Current","savannas and pine flatwoods; host plants -- vanilla-plant (Trilisa odoratissima), thistles (Cirsium)"
"Butterfly","Calephelis virginiensis","Little Metalmark","SR","none","S2","G4","Brunswick","Historical","savannas and pine flatwoods; host plants -- vanilla-plant (Trilisa odoratissima), thistles (Cirsium)"
"Butterfly","Calephelis virginiensis","Little Metalmark","SR","none","S2","G4","Onslow","Current","savannas and pine flatwoods; host plants -- vanilla-plant (Trilisa odoratissima), thistles (Cirsium)"
"Butterfly","Calephelis virginiensis","Little Metalmark","SR","none","S2","G4","Carteret","Current","savannas and pine flatwoods; host plants -- vanilla-plant (Trilisa odoratissima), thistles (Cirsium)"
"Butterfly","Calephelis virginiensis","Little Metalmark","SR","none","S2","G4","Craven","Current","savannas and pine flatwoods; host plants -- vanilla-plant (Trilisa odoratissima), thistles (Cirsium)"
"Butterfly","Calephelis virginiensis","Little Metalmark","SR","none","S2","G4","Cumberland","Current","savannas and pine flatwoods; host plants -- vanilla-plant (Trilisa odoratissima), thistles (Cirsium)"
"Butterfly","Calephelis virginiensis","Little Metalmark","SR","none","S2","G4","Dare","Current","savannas and pine flatwoods; host plants -- vanilla-plant (Trilisa odoratissima), thistles (Cirsium)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Camden","Current","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Gates","Current","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Pender","Historical","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Harnett","Historical","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Moore","Current","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Hoke","Historical","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Brunswick","Current","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Columbus","Current","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Bladen","Current","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Sampson","Current","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Scotland","Current","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Richmond","Current","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Craven","Current","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Cumberland","Current","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Dare","Historical","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Tyrrell","Current","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys hesseli","Hessel's Hairstreak","SR","none","S3","G3","Washington","Current","Atlantic white cedar swamps; host plant -- white cedar (Chamaecyparis thyoides)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Gates","Current","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Franklin","Current","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Pender","Current","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Harnett","Current","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Moore","Current","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Hoke","Current","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Brunswick","Current","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Scotland","Current","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Richmond","Historical","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Jones","Historical","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Craven","Historical","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Cumberland","Current","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Transylvania","Historical","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Cherokee","Current","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Polk","Historical","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Swain","Current","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Callophrys irus","Frosted Elfin","SR","none","S2","G2G3","Buncombe","Historical","open woods and borders, usually in dry situations; host plants -- lupines (Lupinus) and wild indigos (Baptisia)"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Wake","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Pender","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","New Hanover","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Durham","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Orange","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Chatham","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Harnett","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Moore","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Hoke","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Brunswick","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Columbus","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Onslow","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Sampson","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Carteret","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Scotland","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Richmond","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Craven","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Cumberland","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Montgomery","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Gaston","Historical","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Clay","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Dare","Historical","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Davie","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Forsyth","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Granville","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Warren","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Cecropterus confusis (syn. Thorybes confusis)","Confused Cloudywing","W3","none","S3S4","G4","Caswell","Current","dry woodland borders and openings, brushy fields; host plants -- legumes"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G4","Transylvania","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G4","Macon","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G4","Clay","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G4","Rutherford","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G4","Graham","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G4","Haywood","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G4","Swain","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G4","Buncombe","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G4","McDowell","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G4","Madison","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G4","Yancey","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G4","Caldwell","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G4","Avery","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
"Butterfly","Celastrina neglectamajor","Appalachian Azure","W2","none","S3S4","G4","Watauga","Current","rich deciduous forests; host plant -- black cohosh (Cimicifuga)"
