T05,International migrants and refugees,,,,,
202,Sub-Saharan Africa,2005,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
202,Sub-Saharan Africa,2005,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
202,Sub-Saharan Africa,2010,International migrant stock: Both sexes (number),"15,854,637",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
202,Sub-Saharan Africa,2010,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
202,Sub-Saharan Africa,2010,International migrant stock: Male (% total Population),2.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
202,Sub-Saharan Africa,2010,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
202,Sub-Saharan Africa,2015,International migrant stock: Both sexes (number),"20,721,874",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
202,Sub-Saharan Africa,2015,International migrant stock: Both sexes (% total population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
202,Sub-Saharan Africa,2015,International migrant stock: Male (% total Population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
202,Sub-Saharan Africa,2015,International migrant stock: Female (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
202,Sub-Saharan Africa,2020,International migrant stock: Both sexes (number),"22,221,538",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
202,Sub-Saharan Africa,2020,International migrant stock: Both sexes (% total population),2.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
202,Sub-Saharan Africa,2020,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
202,Sub-Saharan Africa,2020,International migrant stock: Female (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
14,Eastern Africa,2005,International migrant stock: Both sexes (number),"4,788,649",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
14,Eastern Africa,2005,International migrant stock: Both sexes (% total population),1.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
14,Eastern Africa,2005,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
14,Eastern Africa,2005,International migrant stock: Female (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
14,Eastern Africa,2010,International migrant stock: Both sexes (number),"4,743,657",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
14,Eastern Africa,2010,International migrant stock: Both sexes (% total population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
14,Eastern Africa,2010,International migrant stock: Male (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
14,Eastern Africa,2010,International migrant stock: Female (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
14,Eastern Africa,2015,International migrant stock: Both sexes (number),"6,696,922",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
14,Eastern Africa,2015,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
14,Eastern Africa,2015,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
14,Eastern Africa,2015,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
14,Eastern Africa,2020,International migrant stock: Both sexes (number),"7,682,801",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
14,Eastern Africa,2020,International migrant stock: Both sexes (% total population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
14,Eastern Africa,2020,International migrant stock: Male (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
14,Eastern Africa,2020,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
17,Middle Africa,2005,International migrant stock: Both sexes (number),"1,961,951",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
17,Middle Africa,2005,International migrant stock: Both sexes (% total population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
17,Middle Africa,2005,International migrant stock: Male (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
17,Middle Africa,2005,International migrant stock: Female (% total Population),1.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
17,Middle Africa,2010,International migrant stock: Both sexes (number),"2,436,802",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
17,Middle Africa,2010,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
17,Middle Africa,2010,International migrant stock: Male (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
17,Middle Africa,2010,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
17,Middle Africa,2015,International migrant stock: Both sexes (number),"3,479,911",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
17,Middle Africa,2015,International migrant stock: Both sexes (% total population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
17,Middle Africa,2015,International migrant stock: Male (% total Population),2.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
17,Middle Africa,2015,International migrant stock: Female (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
17,Middle Africa,2020,International migrant stock: Both sexes (number),"3,861,568",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
17,Middle Africa,2020,International migrant stock: Both sexes (% total population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
17,Middle Africa,2020,International migrant stock: Male (% total Population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
17,Middle Africa,2020,International migrant stock: Female (% total Population),2.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
18,Southern Africa,2005,International migrant stock: Both sexes (number),"1,582,721",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
18,Southern Africa,2005,International migrant stock: Both sexes (% total population),2.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
18,Southern Africa,2005,International migrant stock: Male (% total Population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
18,Southern Africa,2005,International migrant stock: Female (% total Population),2.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
18,Southern Africa,2010,International migrant stock: Both sexes (number),"2,352,541",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
18,Southern Africa,2010,International migrant stock: Both sexes (% total population),4.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
18,Southern Africa,2010,International migrant stock: Male (% total Population),4.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
18,Southern Africa,2010,International migrant stock: Female (% total Population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
18,Southern Africa,2015,International migrant stock: Both sexes (number),"3,477,903",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
18,Southern Africa,2015,International migrant stock: Both sexes (% total population),5.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
18,Southern Africa,2015,International migrant stock: Male (% total Population),6.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
18,Southern Africa,2015,International migrant stock: Female (% total Population),4.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
18,Southern Africa,2020,International migrant stock: Both sexes (number),"3,125,072",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
18,Southern Africa,2020,International migrant stock: Both sexes (% total population),4.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
18,Southern Africa,2020,International migrant stock: Male (% total Population),5.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
18,Southern Africa,2020,International migrant stock: Female (% total Population),3.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
11,Western Africa,2005,International migrant stock: Both sexes (number),"5,957,048",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
11,Western Africa,2005,International migrant stock: Both sexes (% total population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
11,Western Africa,2005,International migrant stock: Male (% total Population),2.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
11,Western Africa,2005,International migrant stock: Female (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
11,Western Africa,2010,International migrant stock: Both sexes (number),"6,321,637",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
11,Western Africa,2010,International migrant stock: Both sexes (% total population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
11,Western Africa,2010,International migrant stock: Male (% total Population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
11,Western Africa,2010,International migrant stock: Female (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
11,Western Africa,2015,International migrant stock: Both sexes (number),"7,067,138",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
11,Western Africa,2015,International migrant stock: Both sexes (% total population),2.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
11,Western Africa,2015,International migrant stock: Male (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
11,Western Africa,2015,International migrant stock: Female (% total Population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
11,Western Africa,2020,International migrant stock: Both sexes (number),"7,552,097",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
11,Western Africa,2020,International migrant stock: Both sexes (% total population),1.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
11,Western Africa,2020,International migrant stock: Male (% total Population),2.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
11,Western Africa,2020,International migrant stock: Female (% total Population),1.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
21,Northern America,2005,International migrant stock: Both sexes (number),"45,363,089",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
21,Northern America,2005,International migrant stock: Both sexes (% total population),13.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
21,Northern America,2005,International migrant stock: Male (% total Population),14.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
21,Northern America,2005,International migrant stock: Female (% total Population),13.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
21,Northern America,2010,International migrant stock: Both sexes (number),"50,970,524",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
21,Northern America,2010,International migrant stock: Both sexes (% total population),14.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
21,Northern America,2010,International migrant stock: Male (% total Population),14.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
21,Northern America,2010,International migrant stock: Female (% total Population),15.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
21,Northern America,2015,International migrant stock: Both sexes (number),"55,633,741",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
21,Northern America,2015,International migrant stock: Both sexes (% total population),15.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
21,Northern America,2015,International migrant stock: Male (% total Population),15.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
21,Northern America,2015,International migrant stock: Female (% total Population),15.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
21,Northern America,2015,Total refugees and people in refugee-like situations (number),"416,385",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
21,Northern America,2015,"Asylum seekers, including pending cases (number)","238,989",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
21,Northern America,2015,Total population of concern to UNHCR (number),"655,374",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
21,Northern America,2019,Total refugees and people in refugee-like situations (number),"420,131",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
21,Northern America,2019,"Asylum seekers, including pending cases (number)","809,134",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
21,Northern America,2019,Other of concern to UNHCR (number),"3,790",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
21,Northern America,2019,Total population of concern to UNHCR (number),"1,233,055",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
21,Northern America,2020,International migrant stock: Both sexes (number),"58,708,795",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
21,Northern America,2020,International migrant stock: Both sexes (% total population),15.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
21,Northern America,2020,International migrant stock: Male (% total Population),15.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
21,Northern America,2020,International migrant stock: Female (% total Population),16.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
419,Latin America & the Caribbean,2005,International migrant stock: Both sexes (number),"7,184,113",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
419,Latin America & the Caribbean,2005,International migrant stock: Both sexes (% total population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
419,Latin America & the Caribbean,2005,International migrant stock: Male (% total Population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
419,Latin America & the Caribbean,2005,International migrant stock: Female (% total Population),1.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
419,Latin America & the Caribbean,2010,International migrant stock: Both sexes (number),"8,326,588",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
419,Latin America & the Caribbean,2010,International migrant stock: Both sexes (% total population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
419,Latin America & the Caribbean,2010,International migrant stock: Male (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
419,Latin America & the Caribbean,2010,International migrant stock: Female (% total Population),1.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
419,Latin America & the Caribbean,2015,International migrant stock: Both sexes (number),"9,441,503",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
419,Latin America & the Caribbean,2015,International migrant stock: Both sexes (% total population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
419,Latin America & the Caribbean,2015,International migrant stock: Male (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
419,Latin America & the Caribbean,2015,International migrant stock: Female (% total Population),1.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
419,Latin America & the Caribbean,2015,Total refugees and people in refugee-like situations (number),"336,552",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
419,Latin America & the Caribbean,2015,"Asylum seekers, including pending cases (number)","37,378",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
419,Latin America & the Caribbean,2015,Other of concern to UNHCR (number),"6,697,290",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
